"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"Achievements.DEFEAT_EMPRESS_OF_LIGHT_Description","Defeat the Empress of Light, responsible for all those flashy lights and glitter."
"Achievements.DEFEAT_EMPRESS_OF_LIGHT_Name","Fae Flayer"
"Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Description","Repel the strongest forces the Old One's Army can muster."
"Achievements.DEFEAT_OLD_ONES_ARMY_TIER3_Name","Hero of Etheria"
"Achievements.DEFEAT_QUEEN_SLIME_Description","Defeat Queen Slime, giving the coup-de-grace to the sovereign of all that jiggles."
"Achievements.DEFEAT_QUEEN_SLIME_Name","Just Desserts"
"Achievements.DIE_TO_DEAD_MANS_CHEST_Description","You were so preoccupied with whether or not you could open the chest that you didn't stop to think if you should."
"Achievements.DIE_TO_DEAD_MANS_CHEST_Name","Dead Men Tell No Tales"
"Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Description","Triumph over the frost legion, a festive family of maniacal snowman mobsters."
"Achievements.DO_YOU_WANT_TO_SLAY_A_SNOWMAN_Name","Do You Want to Slay a Snowman?"
"Achievements.DRAX_ATTAX_Description","Craft a drax or pickaxe axe using hallowed bars, and the souls of the three mechanical bosses."
"Achievements.DRAX_ATTAX_Name","Drax Attax"
"Achievements.DUNGEON_HEIST_Description","Steal a key from the dungeon's undead denizens, and unlock one of their precious golden chests."
"Achievements.DUNGEON_HEIST_Name","Dungeon Heist"
"Achievements.DYE_HARD_Description","Equip a dye in every possible dye slot."
"Achievements.DYE_HARD_Name","Dye Hard"
"Achievements.ExplorerCategory","Explorer"
"Achievements.EXTRA_SHINY_Description","Mine a powerful ore that has been newly blessed upon your world."
"Achievements.EXTRA_SHINY_Name","Extra Shiny!"
"Achievements.EYE_ON_YOU_Description","Defeat the Eye of Cthulhu, an ocular menace who only appears at night."
"Achievements.EYE_ON_YOU_Name","Eye on You"
"Achievements.FASHION_STATEMENT_Description","Equip armor or vanity clothing in all three social slots."
"Achievements.FASHION_STATEMENT_Name","Fashion Statement"
"Achievements.FAST_AND_FISHIOUS_Description","Complete your 50th quest for the angler."
"Achievements.FAST_AND_FISHIOUS_Name","Fast and Fishious"
"Achievements.FIND_A_FAIRY_Description","Encounter a fairy."
"Achievements.FIND_A_FAIRY_Name","Hey! Listen!"
"Achievements.FISH_OUT_OF_WATER_Description","Defeat Duke Fishron, mutant terror of the sea."
"Achievements.FISH_OUT_OF_WATER_Name","Fish Out of Water"
"Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Description","Fly a kite on a windy day."
"Achievements.FLY_A_KITE_ON_A_WINDY_DAY_Name","A Rather Blustery Day"
"Achievements.FOUND_GRAVEYARD_Description","Enter a misty graveyard filled with the surly dead."
"Achievements.FOUND_GRAVEYARD_Name","Quiet Neighborhood"
"Achievements.FREQUENT_FLYER_Description","Spend over 1 gold being treated by the nurse."
"Achievements.FREQUENT_FLYER_Name","The Frequent Flyer"
"Achievements.FUNKYTOWN_Description","Build or encounter a glowing mushroom field above the surface."
"Achievements.FUNKYTOWN_Name","Funkytown"
"Achievements.GELATIN_WORLD_TOUR_Description","Defeat every type of slime there is!"
"Achievements.GELATIN_WORLD_TOUR_Name","Gelatin World Tour"
"Achievements.GET_A_LIFE_Description","Consume a life fruit, which grows in the thick of subterranean jungle grass."
"Achievements.GET_A_LIFE_Name","Get a Life"
"Achievements.GET_TERRASPARK_BOOTS_Description","Obtain the Terraspark Boots, forged from the finest boots of fire and ice."
"Achievements.GET_TERRASPARK_BOOTS_Name","Boots of the Hero"
"Achievements.GET_ZENITH_Description","Obtain the Zenith, the culmination of a journey forged into the ultimate sword."
"Achievements.GET_ZENITH_Name","Infinity +1 Sword"
"Achievements.GLORIOUS_GOLDEN_POLE_Description","Obtain a golden fishing rod."
"Achievements.GLORIOUS_GOLDEN_POLE_Name","Glorious Golden Pole"
"Achievements.GO_LAVA_FISHING_Description","Drop a lure in a pool of lava for a pre-fried haul!"
"Achievements.GO_LAVA_FISHING_Name","Hot Reels!"
"Achievements.GOBLIN_PUNTER_Description","Triumph over a goblin invasion, a ragtag regiment of crude, barbaric, pointy-eared warriors and their shadowflame sorcerers."
"Achievements.GOBLIN_PUNTER_Name","Goblin Punter"
"Achievements.GOOD_LITTLE_SLAVE_Description","Complete your 10th quest for the angler."
"Achievements.GOOD_LITTLE_SLAVE_Name","Good Little Slave"
"Achievements.HEAD_IN_THE_CLOUDS_Description","Equip a pair of wings."
"Achievements.HEAD_IN_THE_CLOUDS_Name","Head in the Clouds"
"Achievements.HEART_BREAKER_Description","Discover and smash your first heart crystal underground."
"Achievements.HEART_BREAKER_Name","Heart Breaker"
"Achievements.HEAVY_METAL_Description","Obtain an anvil made from iron or lead."
"Achievements.HEAVY_METAL_Name","Heavy Metal"
"Achievements.HEX_EDUCATION_Description","Defeat a Goblin Summoner, conjurers of the darkest flames."
"Achievements.HEX_EDUCATION_Name","Hex Education"
"Achievements.HOLD_ON_TIGHT_Description","Equip your first grappling hook."
"Achievements.HOLD_ON_TIGHT_Name","Hold on Tight!"
"Achievements.I_AM_LOOT_Description","Discover a golden chest underground and take a peek at its contents."
"Achievements.I_AM_LOOT_Name","I Am Loot!"
"Achievements.ICE_SCREAM_Description","Reach the 15th wave of a frost moon, where the festive season quickly degrades into madness."
"Achievements.ICE_SCREAM_Name","Ice Scream"
"Achievements.INDEPENDENCE_DAY_Description","Defeat a Mothership, overminds of the martian invaders."
"Achievements.INDEPENDENCE_DAY_Name","Independence Day"
"Achievements.INTO_ORBIT_Description","You can only go down from here!"
"Achievements.INTO_ORBIT_Name","Into Orbit"
"Achievements.IT_CAN_TALK_Description","Build a house in a mushroom biome and have the Truffle move in."
"Achievements.IT_CAN_TALK_Name","It Can Talk?!"
"Achievements.ITS_GETTING_HOT_IN_HERE_Description","Spelunk deep enough to reach the molten underworld."
"Achievements.ITS_GETTING_HOT_IN_HERE_Name","It's Getting Hot in Here"
"Achievements.ITS_HARD_Description","Unleash the ancient spirits of light and darkness across your world, enabling much stronger foes and showering the world with dazzling treasures (and rainbows!)."
"Achievements.ITS_HARD_Name","It's Hard!"
"Achievements.JEEPERS_CREEPERS_Description","Stumble into a spider cavern in the underground."
"Achievements.JEEPERS_CREEPERS_Name","Jeepers Creepers"
"Achievements.KILL_THE_SUN_Description","Survive a solar eclipse, a day darker than night filled with creatures of horror."
"Achievements.KILL_THE_SUN_Name","Kill the Sun"
"Achievements.LIHZAHRDIAN_IDOL_Description","Defeat Golem, the stone-faced ritualistic idol of the lihzahrd tribe."
"Achievements.LIHZAHRDIAN_IDOL_Name","Lihzahrdian Idol"
"Achievements.LIKE_A_BOSS_Description","Obtain a boss-summoning item."
"Achievements.LIKE_A_BOSS_Name","Like a Boss"
"Achievements.LUCKY_BREAK_Description","Survive a long fall with just a sliver of health remaining."
"Achievements.LUCKY_BREAK_Name","Lucky Break"
"Achievements.MARATHON_MEDALIST_Description","Travel a total of 26.2 miles on foot."
"Achievements.MARATHON_MEDALIST_Name","Marathon Medalist"
"Achievements.MASTERMIND_Description","Defeat the Brain of Cthulhu, an enormous demon brain which haunts the creeping crimson."
"Achievements.MASTERMIND_Name","Mastermind"
"Achievements.MATCHING_ATTIRE_Description","Equip armor in all three armor slots: head, chest, and feet."
"Achievements.MATCHING_ATTIRE_Name","Matching Attire"
"Achievements.MECHA_MAYHEM_Description","Do battle against the Twins, the Destroyer, and Skeletron Prime simultaneously and emerge victorious."
"Achievements.MECHA_MAYHEM_Name","Mecha Mayhem"
"Achievements.MINER_FOR_FIRE_Description","Craft a molten pickaxe using the hottest of materials."
"Achievements.MINER_FOR_FIRE_Name","Miner for Fire"
"Achievements.NO_HOBO_Description","Build a house suitable enough for your first town NPC, such as the guide, to move into."
"Achievements.NO_HOBO_Name","No Hobo"
"Achievements.NoCategory","None"
"Achievements.NOT_THE_BEES_Description","Fire a Bee Gun while wearing a full set of Bee Armor."
"Achievements.NOT_THE_BEES_Name","Not the Bees!"
"Achievements.OBSESSIVE_DEVOTION_Description","Defeat the Ancient Cultist, fanatical leader of the dungeon coven."
"Achievements.OBSESSIVE_DEVOTION_Name","Obsessive Devotion"
"Achievements.OBTAIN_HAMMER_Description","Obtain your first hammer via crafting or otherwise."
"Achievements.OBTAIN_HAMMER_Name","Stop! Hammer Time!"
"Achievements.OOO_SHINY_Description","Mine your first nugget of ore with a pickaxe."
"Achievements.OOO_SHINY_Name","Ooo! Shiny!"
"Achievements.PET_THE_PET_Description","Deliver headpats to the town pet."
"Achievements.PET_THE_PET_Name","Feeling Petty"
"Achievements.PHOTOSYNTHESIS_Description","Mine chlorophyte, an organic ore found deep among the thickest of flora."
"Achievements.PHOTOSYNTHESIS_Name","Photosynthesis"
"Achievements.PRETTY_IN_PINK_Description","Kill pinky."
"Achievements.PRETTY_IN_PINK_Name","Pretty in Pink"
"Achievements.PRISMANCER_Description","Obtain a rainbow rod."
"Achievements.PRISMANCER_Name","Prismancer"
"Achievements.PUMPKIN_SMASHER_Description","Defeat the Pumpking, the spooky lord of hallow's eve."
"Achievements.PUMPKIN_SMASHER_Name","Pumpkin Smasher"
"Achievements.RAINBOWS_AND_UNICORNS_Description","Fire a rainbow gun while riding on a unicorn."
"Achievements.RAINBOWS_AND_UNICORNS_Name","Rainbows and Unicorns"
"Achievements.REAL_ESTATE_AGENT_Description","Have all possible town NPCs living in your world."
"Achievements.REAL_ESTATE_AGENT_Name","Real Estate Agent"
"Achievements.ROBBING_THE_GRAVE_Description","Obtain a rare treasure from a difficult monster in the dungeon."
"Achievements.ROBBING_THE_GRAVE_Name","Robbing the Grave"
"Achievements.ROCK_BOTTOM_Description","The only way is up!"
"Achievements.ROCK_BOTTOM_Name","Rock Bottom"
"Achievements.SERVANT_IN_TRAINING_Description","Complete your 1st quest for the angler."
"Achievements.SERVANT_IN_TRAINING_Name","Servant-in-Training"
"Achievements.SICK_THROW_Description","Obtain the Terrarian."
"Achievements.SICK_THROW_Name","Sick Throw"
"Achievements.SLAYER_OF_WORLDS_Description","Defeat every boss in Terraria."
"Achievements.SLAYER_OF_WORLDS_Name","Slayer of Worlds"
"Achievements.SlayerCategory","Slayer"
"Achievements.SLIPPERY_SHINOBI_Description","Defeat King Slime, the lord of all things slimy."
"Achievements.SLIPPERY_SHINOBI_Name","Slippery Shinobi"
"Achievements.SMASHING_POPPET_Description","Using explosives or your trusty hammer, smash a Shadow Orb or Crimson Heart in the evil parts of your world."
"Achievements.SMASHING_POPPET_Name","Smashing, Poppet!"
"Achievements.STAR_DESTROYER_Description","Defeat the four celestial towers of the moon."
"Achievements.STAR_DESTROYER_Name","Star Destroyer"
"Achievements.STAR_POWER_Description","Craft a mana crystal out of fallen stars, and consume it."
"Achievements.STAR_POWER_Name","Star Power"
"Achievements.STICKY_SITUATION_Description","Survive the slime rain, where gelatinous organisms fall from the sky in droves."
"Achievements.STICKY_SITUATION_Name","Sticky Situation"
"Achievements.STILL_HUNGRY_Description","Defeat the Wall of Flesh, the master and core of the world who arises after a great, burning sacrifice."
"Achievements.STILL_HUNGRY_Name","Still Hungry"
"Achievements.STING_OPERATION_Description","Defeat the Queen Bee, the matriarch of the jungle hives."
"Achievements.STING_OPERATION_Name","Sting Operation"
"Achievements.SUPREME_HELPER_MINION_Description","Complete a grand total of 200 quests for the angler."
"Achievements.SUPREME_HELPER_MINION_Name","Supreme Helper Minion!"
"Achievements.SWORD_OF_THE_HERO_Description","Obtain a Terra Blade, forged from the finest blades of light and darkness."
"Achievements.SWORD_OF_THE_HERO_Name","Sword of the Hero"
"Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Description","Meet with a tenant who's as happy as they possibly can be!"
"Achievements.TALK_TO_NPC_AT_MAX_HAPPINESS_Name","Leading Landlord"
"Achievements.TEMPLE_RAIDER_Description","Breach the impenetrable walls of the jungle temple."
"Achievements.TEMPLE_RAIDER_Name","Temple Raider"
"Achievements.THE_CAVALRY_Description","Equip a mount."
"Achievements.THE_CAVALRY_Name","The Cavalry"
"Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Description","Defeat Plantera, the overgrown monstrosity of the jungle's depths."
"Achievements.THE_GREAT_SOUTHERN_PLANTKILL_Name","The Great Southern Plantkill"
"Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Description","Kill Tim."
"Achievements.THERE_ARE_SOME_WHO_CALL_HIM_Name","There are Some Who Call Him..."
"Achievements.THROW_A_PARTY_Description","What you're celebrating doesn't matter, just throw a party already!"
"Achievements.THROW_A_PARTY_Name","Jolly Jamboree"
"Achievements.THROWING_LINES_Description","Throw a yoyo."
"Achievements.THROWING_LINES_Name","Throwing Lines"
"Achievements.TIL_DEATH_Description","Kill the groom."
"Achievements.TIL_DEATH_Name","Til Death..."
"Achievements.TIMBER_Description","Chop down your first tree."
"Achievements.TIMBER_Name","Timber!!"
"Achievements.TIN_FOIL_HATTER_Description","Triumph over a martian invasion, when beings from out of this world come to scramble your brains and probe you in uncomfortable places."
"Achievements.TIN_FOIL_HATTER_Name","Tin-Foil Hatter"
"Achievements.TOPPED_OFF_Description","Attain maximum life and mana possible without accessories or buffs."
"Achievements.TOPPED_OFF_Name","Topped Off"
"Achievements.TROUT_MONKEY_Description","Complete your 25th quest for the angler."
"Achievements.TROUT_MONKEY_Name","Trout Monkey"
"Achievements.TURN_GNOME_TO_STATUE_Description","Trick a gnome into turning into stone!"
"Achievements.TURN_GNOME_TO_STATUE_Name","Heliophobia"
"Achievements.VEHICULAR_MANSLAUGHTER_Description","Defeat an enemy by running it over with a minecart."
"Achievements.VEHICULAR_MANSLAUGHTER_Name","Vehicular Manslaughter"
"Achievements.WALK_THE_PLANK_Description","Triumph over a pirate invasion, a group of pillagers from the sea out for your booty... and your life!"
"Achievements.WALK_THE_PLANK_Name","Walk the Plank"
"Achievements.WATCH_YOUR_STEP_Description","Become a victim to a nasty underground trap."
"Achievements.WATCH_YOUR_STEP_Name","Watch Your Step!"
"Achievements.WHERES_MY_HONEY_Description","Discover a large bee's hive deep in the jungle."
"Achievements.WHERES_MY_HONEY_Name","Where's My Honey?"
"Achievements.WINTERHEARTED_Description","Defeat the Ice Queen, wicked witch of the coldest nights."
"Achievements.WINTERHEARTED_Name","Winterhearted"
"Achievements.WORM_FODDER_Description","Defeat the Eater of Worlds, a massive worm who dwells in the corruption."
"Achievements.WORM_FODDER_Name","Worm Fodder"
"Achievements.YOU_AND_WHAT_ARMY_Description","Command nine summoned minions simultaneously."
"Achievements.YOU_AND_WHAT_ARMY_Name","You and What Army?"
"Achievements.YOU_CAN_DO_IT_Description","Survive your character's first full night."
"Achievements.YOU_CAN_DO_IT_Name","You Can Do It!"
"AnglerChatter.Chatter_1","How come {Bartender} won't sell me any ale? I want to try some! What a grouch!"
"AnglerChatter.Chatter_10","I don't have a mommy or a daddy, but I have a lot of fish! It's close enough!"
"AnglerChatter.Chatter_2","Whaaaat?! Can't you see I'm winding up fishing line??"
"AnglerChatter.Chatter_3","I have enough fish! I don't need your help right now!"
"AnglerChatter.Chatter_4","There's no chefs in all of {WorldName}, so I have to cook all this fish myself! "
"AnglerChatter.Chatter_5","Hey! Watch it! I'm setting up traps for my biggest prank ever! No one will see it coming! Don't you dare tell anyone!"
"AnglerChatter.Chatter_6","Let a kid give you some advice, never touch your tongue to an ice block! Wait, forget what I said, I totally want to see you do it!"
"AnglerChatter.Chatter_7","Ever heard of a barking fish?! I haven't, I'm just wondering if you did!"
"AnglerChatter.Chatter_8","{WorldName} is filled to the brim with the most outlandish kinds of fish!"
"AnglerChatter.Chatter_9","I'm bummed out! There's probably been fish that have gone extinct before I even was born, and that's not fair!"
"AnglerNames.Adam","Adam"
"AnglerNames.Bart","Bart"
"AnglerNames.Billy","Billy"
"AnglerNames.Bobby","Bobby"
"AnglerNames.Charles","Charles"
"AnglerNames.Danny","Danny"
"AnglerNames.Grayson","Grayson"
"AnglerNames.Ivan","Ivan"
"AnglerNames.Izzy","Izzy"
"AnglerNames.Jey","Jey"
"AnglerNames.Jimmy","Jimmy"
"AnglerNames.Johnny","Johnny"
"AnglerNames.Matty","Matty"
"AnglerNames.Miles","Miles"
"AnglerNames.Nathan","Nathan"
"AnglerNames.Phillip","Phillip"
"AnglerNames.Sammy","Sammy"
"AnglerNames.Simon","Simon"
"AnglerNames.Spencer","Spencer"
"AnglerNames.Timmy","Timmy"
"AnglerNames.Tyler","Tyler"
"AnglerQuestChatter.Chatter_1","Wooow! You've bothered me, like, {AnglerCompletedQuestsCount} times! If I didn't have a cool fish for each time, I would be really mad!"
"AnglerQuestChatter.Chatter_2","Did you know I have {AnglerCompletedQuestsCount} amazingly awesome fish now!? That's because as far as errand monkeys go, you're actually a bit useful!"
"AnglerQuestText.NoQuest_1","I don't have anything for you to do right now."
"AnglerQuestText.NoQuest_2","You have entertained me enough for today, go."
"AnglerQuestText.NoQuest_3","You are done, the grand {Angler} dismisses you!"
"AnglerQuestText.NoQuest_4","Only one fish a day, please go away!"
"AnglerQuestText.NoQuest_5","I haven't even used the last fish you gave me.  I don't need another."
"AnglerQuestText.Quest_AmanitaFungifin","I found this spectacular place draped in giant glowing mushrooms! Everything was blue! I was picking some of the mushrooms I found next to a glistening blue lake, when one of the mushrooms snapped at me and swam away! I want to give it a taste of its own medicine, and give it a good chompin'! What I mean is, you gotta get it for me!

(Caught in Glowing Mushroom Fields)"
"AnglerQuestText.Quest_Angelfish","Did you know there's magical islands that float up high in the sky? Bet you didn't! They say angels live in the sky, and I believe those angels have fins and gills and swim around! I believe you must catch one for me!

(Caught in Sky Lakes)"
"AnglerQuestText.Quest_Batfish","Na na na na na na na Bat-FISH! That means go digging underground, fetch it, and bring it to me!

(Caught in Underground & Caverns)"
"AnglerQuestText.Quest_BloodyManowar","Ow! Don't get near me! I got stung by a Bloody Man-O-War! In case you're not smart enough to know what that is, it's the most menacing jellyfish in all of {WorldName}! Go to that rotten crimson and catch it if you dare! 

(Caught in Crimson)"
"AnglerQuestText.Quest_Bonefish","Normally I could care less if I see fishbones floating in the water underground, but this one was swimming! What, you thought that only human skeletons still flailed about in {WorldName}? Get it for me so I can stick it in someone's bed!

(Caught in Underground & Caverns)"
"AnglerQuestText.Quest_BumblebeeTuna","The subterranean jungles of {WorldName} have the weirdest things! Like, there's this fish I saw that looked just like a giant bumblebee! I'm allergic to bees, so you have to catch it for me! I bet it'd taste like a tuna and honey sandwich!

(Caught in Honey)"
"AnglerQuestText.Quest_Bunnyfish","Out in the forest, I was fishing right? Well guess what! A bunny hopped up to me! Then another one hopped up, and another... suddenly I'm surrounded by bunnies! One even swam up to me from the water, but it had no legs! I fell outta my chair in surprise and all the bunnies scurried off! I want that bunny fish as a pet, so you better catch it for me! Pronto!

(Caught in Surface)"
"AnglerQuestText.Quest_CapnTunabeard","Yarr matey! Shiver me timbers! Avast, scallywags! There's a pirate captain who once had a pet fish named Cap'n Tunabeard, but during a big storm the fishbowl fell overboard! It has a hook for a tail, and an eyepatch and everything! You need to fetch me that fish, so I can be as cool as a pirate! Obviously it's out in the ocean somewhere! Duh!

(Caught in Ocean)"
"AnglerQuestText.Quest_Catfish","I finally found a jungle cat that likes water! I think it's because it's also part fish. I don't know why this happened, and I don't want to know. I just want it in my hands, and make it snappy!

(Caught in Jungle Surface)"
"AnglerQuestText.Quest_Cloudfish","There's a rumor going around that there are islands that float high up in the sky, and that they have amazing treasure! Who cares about that though, what's even cooler is that sometimes lakes form in the clouds, and in those lakes are fish made out of clouds! I wanna know what it tastes like, so you better go catch it for me!

(Caught in Sky Lakes)"
"AnglerQuestText.Quest_Clownfish","I saw this bright orange and colorful fish by the ocean, and it was looking around frantically as though it was seeking a lost family member! Go catch it for me, so that another one will show up looking frantically for him instead!

(Caught in Ocean)"
"AnglerQuestText.Quest_Cursedfish","There's a cursed fish swimming in the waters of the deepest corruption! It was forged of the cursed flames that spread from the fallen horrors that lurk down there. They say not even water can put out this fire, and that it can burn forever. I can think of some awesome things I can do with a fish like that! You gonna go get it for me, or are you too chicken!?

(Caught in Corruption)"
"AnglerQuestText.Quest_DemonicHellfish","I hear in the underworld, that the King of all demons is actually a fish! Just imagine the absolute power I would have if you caught it for me!

(Caught in Caverns)"
"AnglerQuestText.Quest_Derpfish","Those Derplings in the jungle are the most scary creatures I've ever seen! Good thing is, sometimes they don't have legs! These ones live in the water and are a lot less scary! Catch me one now so I can see what they taste like without being scared half to death!

(Caught in Jungle Surface)"
"AnglerQuestText.Quest_Dirtfish","I was reeling in the big one when this funny talking zombie burst out of the forest lake and started rambling on about this 'ferocious' species of fish made out of dirt! He says it could suffocate ten blokes his size, or something like that... I want it! NOW!

(Caught in Surface & Underground)"
"AnglerQuestText.Quest_DynamiteFish","The demolitionist was raising cane about losing a stick of dynamite in the lake out in the forest. He has like, so many, so why does one matter? Apparently, because it grew fins and started swimming away! I don't know where he gets his materials to make those things, but that one is clearly possessed! Reel it in and bring it to me, I always wanted a suicide bombing fish! Don't ask why...

(Caught in Surface)"
"AnglerQuestText.Quest_EaterofPlankton","I bet you're not brave enough to find the Eater of Plankton. A corrupt fish that was mutated from a severed piece of the Eater of Worlds itself! Capture it and bring it to me, and prove to me you're not a wuss!

(Caught in Corruption)"
"AnglerQuestText.Quest_FallenStarfish","I love collecting those bright yellow stars that fall from the sky! I love it even more when they land on someone's head. But.. but.. nothing beats a star that falls in a foresty lake and turns into a fish! That's just totally rad, and you're just rad enough to get it for me!

(Caught in Sky Lakes)"
"AnglerQuestText.Quest_Fishotron","I don't know what's worse, a bone fish or a bone fish with HANDS. This Fish-o-Tron deep in the caverns really freaks me out! I think it's possessed by the same evil spirits that possessed that old man by the dungeon! I double duck dare you to go catch it!

(Caught in Caverns)"
"AnglerQuestText.Quest_Fishron","There's a legend of a mighty being known as the Fishron! It's part pig, part dragon, and part FISH! I hear it hangs around in the frozen subterranean lakes of the coldest part of the world! I'm not going there, so YOU go catch it and makes sure it lands in my hands! I'm so excited!

(Caught in Underground Tundra)"
"AnglerQuestText.Quest_GuideVoodooFish","Those demons in the underworld really like voodoo dolls, but I think there's a doll out there who was blasted with way too much magic! It turned into a fish and it does stuff on its own. I dare you to go down and get me one! I'd watch out for the boiling lava, because it burns you to death and that won't get me my fish!

(Caught in Caverns)"
"AnglerQuestText.Quest_Harpyfish","I was trying to sleep by the hill lakeside when this fish swooped down at me. It was flying! It also had the face of a lady and had feathers! I think I screamed louder than she did! Hey you, go make her pay for scaring me like that!

(Caught in Sky Lakes & Surface)"
"AnglerQuestText.Quest_Hungerfish","There's a piece of the Hunger that morphed from the Wall of Flesh into a small fish-like thing that swims around aimlessly in the underworld and it's gross and it's yucky and I want it now!

(Caught in Caverns)"
"AnglerQuestText.Quest_Ichorfish","Did you know deep in the crimson, some of those creatures make this gross yellow stuff? I overheard a crazy story about a pool of it having melted together into a shape of a fish and it swims around and everything! Fetch it for me, so I can stick it in someone's toilet!

(Caught in Crimson)"
"AnglerQuestText.Quest_InfectedScabbardfish","A really long fish that looks like a sword's sheath swims in the murky waters of the corruption! It looks a lot like ebonstone, so don't let it fool you! That's right, you. You're catching it, not me!

(Caught in Corruption)"
"AnglerQuestText.Quest_Jewelfish","Oooooohhh, I'm going to be SO rich! Deep in the caverns, there is a fish made out of gemstones! Don't ask me how, I don't know, all I know is that this fish is totally awesome and you're going to catch it for me!

(Caught in Underground & Caverns)"
"AnglerQuestText.Quest_MirageFish","There's some interesting critters to be found in the deeper Hallows, I tell you! They glow this crazy purple color and it messes with my eyes! It's totally wild, so I want you to catch a fish like that for me!

(Caught in Underground Hallow)"
"AnglerQuestText.Quest_Mudfish","Watch your step when wading through jungle waters! Why? No, not because I care about you being eaten by piranhas. I care because you'll step on one of my favorite kinds of fish, the Mud Fish! I also care a lot that you're going to grab me one as a pet!

(Caught in Jungle)"
"AnglerQuestText.Quest_MutantFlinxfin","What's white and tan and fluffy and lives in a frozen underground lake? A mutant flinxfin! I wasn't telling a joke, you know, there really is a mutated variety of Flinx that is more adapted to an aquatic lifestyle! I want it to adapt to my fishbowl, so make sure that happens!

(Caught in Underground Tundra)"
"AnglerQuestText.Quest_Pengfish","It's a whale! It's a dolphin! No, it's a penguin fish! Oh, and look, it's you! You get to bring me one! You do know they only like cold water, right?

(Caught in Tundra)"
"AnglerQuestText.Quest_Pixiefish","There's a really really rare type of pixie that's born with so many wings that it can't actually fly! It swims with the fishes in the lakes surrounded by that blue colored grass. My fish tank needs a lamp, so I want you to catch me that pixie!

(Caught in Hallow)"
"AnglerQuestText.Quest_ScarabFish","I read this ancient story about a fish that looks like a magical scarab! That's beetle, for simpletons like you! Where do you find it? Where do you think? In the desert, duh! Don't look at me like that... it's true! There is actually water out there! I'd go, but I don't like having my eyeballs pecked out by vultures. So... you do it!

(Caught in Desert)"
"AnglerQuestText.Quest_ScorpioFish","I'm sure someone, a really stupid someone, tried to tell you there was no water in the desert! They were absolutely and positively wrong! There's this thing called an Oasis, and it has water in it! Guess what happens when you have water!? That's right, you have fish! Weird fish that try to sting you and pinch you and do all kinds of other mean things to you! A perfect pet for me, and a perfect job for you!

(Caught in Desert)"
"AnglerQuestText.Quest_Slimefish","In the forest, the slimes are kinda gross. Slimefish are even more so! I don't want to swim with slimes, so yoink one out of the water for me!

(Caught in Surface Forest)"
